years,city,SO2,NO2,O3,PM10,PM2.5,CO,Benzen,Latitude,Longitude
2012,Durres,5.2,20.5,65.8,32.9,14.31,0.38,1.54,41.3167,19.45
2013,Durres,7.16,22.51,58.085,23.435,11.38,0.43,1.74,41.3167,19.45
2014,Durres,9.12,24.52,50.37,13.97,8.45,0.48,1.94,41.3167,19.45
2015,Durres,11.77,26.54,52.86,18.07,12.74,0.43,2.68,41.3167,19.45
2016,Durres,5.64,24.49,53.9,24.03,13.85,0.53,1.98,41.3167,19.45
2017,Durres,3.94,24.42,50.16,24.45,13.01,0.57,1.39,41.3167,19.45
2018,Durres,6.83,20.03,NA,24.24,12.67,0.72,1.135,41.3167,19.45
2019,Durres,9.72,15.64,NA,24.03,12.33,0.87,0.88,41.3167,19.45
2012,Vlore,NA,NA,NA,NA,NA,NA,NA,40.45,19.4833
2013,Vlore,NA,7.25,75.25,34.37,16.11,NA,NA,40.45,19.4833
2014,Vlore,8.05,10.41,63.65,15.29,10.55,0.37,0.91,40.45,19.4833
2015,Vlore,7.7,13.71,68.28,18.72,8.39,0.42,1.75,40.45,19.4833
2016,Vlore,9.39,11.37,63.34,23.06,8.82,0.37,1.42,40.45,19.4833
2017,Vlore,3.33,21.28,21.14,23.44,22.74,1.83,1.11,40.45,19.4833
2018,Vlore,NA,14.3,46.12,21.205,15.165,1.06,0.995,40.45,19.4833
2019,Vlore,NA,7.32,71.1,18.97,7.59,0.29,0.88,40.45,19.4833
2012,Korce,2.4,7.9,57.3,44.49,28.81,0.67,2.91,40.6167,20.7667
2013,Korce,5.83,5.06,66.2,27.52,29.02,0.925,3.195,40.6167,20.7667
2014,Korce,6.95,13.66,54.87,38.28,29.23,1.18,3.48,40.6167,20.7667
2015,Korce,4.31,13.9,49.46,44.85,29.44,1.13,6.21,40.6167,20.7667
2016,Korce,6.06,12.41,42.52,37.66,25.96,0.58,4.19,40.6167,20.7667
2017,Korce,5.97,13.6733333,74.11,32.87,17.41,1.1,1.59,40.6167,20.7667
2018,Korce,11.34,14.9366667,69.055,NA,NA,1.43,1.625,40.6167,20.7667
2019,Korce,16.71,16.2,64,NA,NA,1.76,1.66,40.6167,20.7667
2012,Shkoder,3.11,6.7,61.52,40.2,19.19,0.28,1.7,42.0667,19.5
2013,Shkoder,4.315,9.6,66.53,31.02,15.415,0.395,1.645,42.0667,19.5
2014,Shkoder,5.52,12.5,71.54,21.84,11.64,0.51,1.59,42.0667,19.5
2015,Shkoder,9,9.94,71.1,20.67,13.91,0.9,2.91,42.0667,19.5
2016,Shkoder,8.02,9.87,66.93,16.63,11.48,0.79,2.82,42.0667,19.5
2017,Shkoder,6.39,12.29,77.47,25.07,22.74,1.43,2.91,42.0667,19.5
2018,Shkoder,9.06,10.97,77.885,NA,NA,1.47,NA,42.0667,19.5
2019,Shkoder,11.73,9.65,78.3,NA,NA,1.51,NA,42.0667,19.5
2012,Tirane,6.3,23.83,55.79,35.44,19.24,0.43,3.95,41.33,19.82
2013,Tirane,10.91,27.3,51.03,32.56,16.45,0.64,3.355,41.33,19.82
2014,Tirane,15.52,35.01,32.64,54.06,NA,0.85,2.76,41.33,19.82
2015,Tirane,10.46,42.38,33.34,57.34,NA,0.87,2.9,41.33,19.82
2016,Tirane,13.66,47.63,22.33,52.05,NA,0.8,2.7,41.33,19.82
2017,Tirane,9.94,49.32,26.22,62.49,NA,2.56,1.83,41.33,19.82
2018,Tirane,17.81,43.585,28.96,NA,NA,1.52,NA,41.33,19.82
2019,Tirane,25.68,37.85,31.7,NA,NA,0.48,NA,41.33,19.82
2012,Elbasan,15.5,22.6,72,89.7,NA,NA,NA,41.1125,20.0822
2013,Elbasan,16.21,27.635,45.38,67.975,NA,NA,NA,41.1125,20.0822
2014,Elbasan,16.92,32.67,18.76,46.25,NA,0.66,0.25,41.1125,20.0822
2015,Elbasan,6.9,24.08,32.98,45.09,NA,0.68,0.76,41.1125,20.0822
2016,Elbasan,3.52,26.41,25.25,38.67,NA,0.81,0.56,41.1125,20.0822
2017,Elbasan,3.09,24.86,32.69,30.32,NA,0.75,1.72,41.1125,20.0822
2018,Elbasan,NA,26.43,40.945,NA,NA,0.785,NA,41.1125,20.0822
2019,Elbasan,NA,28,49.2,NA,NA,0.82,NA,41.1125,20.0822
